ID,Rob1 Joint 1,Rob1 Supply,Rob1 Joint 3,Rob2 Max Vel 2,Rob1 Vacuum,Sub-Part 1.3,EoL,Sub-Part 1.4,Rob2 Supply 1,Sub-Part 3,Sub-Part 2,Sub-Part 1.2,Rob1 Max Vel,Sub-Part 1.1,Rob2 Vacuum 1,Rob1 Joint 2,Rob2 Supply 4,Rob2 Supply 3,Rob1 Joint 4,Rob2 Supply 2,Rob2 Max Vel 1,Rob2 Max Vel 4,Rob2 Max Vel 3,Rob1 Joint 1,Rob1 Supply,Rob1 Joint 3,Rob2 Max Vel 2,Rob1 Vacuum,Sub-Part 1.3,EoL,Sub-Part 1.4,Rob2 Supply 1,Sub-Part 3,Sub-Part 2,Sub-Part 1.2,Rob1 Max Vel,Sub-Part 1.1,Rob2 Vacuum 1,Rob1 Joint 2,Rob2 Supply 4,Rob2 Supply 3,Rob1 Joint 4,Rob2 Supply 2,Rob2 Max Vel 1,Rob2 Max Vel 4,Rob2 Max Vel 3,Rob2 Joint 2.4,Rob1 Supply,Rob2 Joint 3.2,Rob1 Vacuum,Rob2 Joint 4.2,EoL,Sub-Part 1.4,Rob2 Joint 4.1,Rob1 Max Vel,Rob2 Vacuum 1,Rob2 Max Vel 1,Rob2 Joint 1.2,Rob2 Max Vel 3,Rob1 Joint 1,Rob2 Joint 3.3,Rob1 Joint 3,Rob2 Joint 4.4,Rob2 Max Vel 2,Sub-Part 1.3,Rob2 Joint 3.4,Rob2 Max Vel 4,Rob2 Supply 1,Sub-Part 2,Sub-Part 1.2,Sub-Part 1.1,Rob2 Joint 2.3,Rob2 Joint 2.2,Rob2 Supply 4,Rob1 Joint 4,Rob2 Joint 2.1,Rob2 Supply 2,Rob1 Joint 2,Rob2 Joint 3.1,Rob2 Joint 1.1,Rob2 Joint 1.3,Rob2 Joint 4.3,Sub-Part 3,Rob2 Joint 1.4,Rob2 Supply 3,Rob1 Joint 1,Rob1 Supply,Rob1 Joint 3,Rob2 Max Vel 2,Rob1 Vacuum,Sub-Part 1.3,EoL,Sub-Part 1.4,Rob2 Supply 1,Sub-Part 3,Sub-Part 2,Sub-Part 1.2,Rob1 Max Vel,Sub-Part 1.1,Rob2 Vacuum 1,Rob1 Joint 2,Rob2 Supply 4,Rob2 Supply 3,Rob1 Joint 4,Rob2 Supply 2,Rob2 Max Vel 1,Rob2 Max Vel 4,Rob2 Max Vel 3,Rob2 Joint 2.4,Rob1 Supply,Rob2 Joint 3.2,Rob1 Vacuum,Rob2 Joint 4.2,EoL,Sub-Part 1.4,Rob2 Joint 4.1,Rob1 Max Vel,Rob2 Vacuum 1,Rob2 Max Vel 1,Rob2 Joint 1.2,Rob2 Max Vel 3,Rob1 Joint 1,Rob2 Joint 3.3,Rob1 Joint 3,Rob2 Joint 4.4,Rob2 Max Vel 2,Sub-Part 1.3,Rob2 Joint 3.4,Rob2 Max Vel 4,Rob2 Supply 1,Sub-Part 2,Sub-Part 1.2,Sub-Part 1.1,Rob2 Joint 2.3,Rob2 Joint 2.2,Rob2 Supply 4,Rob1 Joint 4,Rob2 Joint 2.1,Rob2 Supply 2,Rob1 Joint 2,Rob2 Joint 3.1,Rob2 Joint 1.1,Rob2 Joint 1.3,Rob2 Joint 4.3,Sub-Part 3,Rob2 Joint 1.4,Rob2 Supply 3
4,0.0,0,0.0,1.999459998652,0,0.6328125,0.7578125,0.6328125,99.566561588808,0.7890625,0.7578125,0.6328125,1.9919223098081,0.6328125,89.684794520724,0.0,99.566561588808,99.566561588808,0.0,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0.0,0,0.0,1.999459998652,0,0.6328125,0.7578125,0.6328125,99.566561588808,0.7890625,0.7578125,0.6328125,1.9919223098081,0.6328125,89.684794520724,0.0,99.566561588808,99.566561588808,0.0,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0.7578125,0.6328125,0,1.9919223098081,89.684794520724,1.999459998652,0,1.999459998652,0.0,0,0.0,0,1.999459998652,0.6328125,0,1.999459998652,99.566561588808,0.7578125,0.6328125,0.6328125,0,0,99.566561588808,0.0,0,99.566561588808,0.0,0,0,0,0,0.7890625,0,99.566561588808,0.0,0,0.0,1.999459998652,0,0.6328125,0.7578125,0.6328125,99.566561588808,0.7890625,0.7578125,0.6328125,1.9919223098081,0.6328125,89.684794520724,0.0,99.566561588808,99.566561588808,0.0,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0.7578125,0.6328125,0,1.9919223098081,89.684794520724,1.999459998652,0,1.999459998652,0.0,0,0.0,0,1.999459998652,0.6328125,0,1.999459998652,99.566561588808,0.7578125,0.6328125,0.6328125,0,0,99.566561588808,0.0,0,99.566561588808,0.0,0,0,0,0,0.7890625,0,99.566561588808
4,-2.0204327557154,0,-0.6175318886835,1.999459998652,0,0.6171875,0.7734375,0.625,99.566561588808,0.78125,0.78125,0.640625,2.0420006597828,0.609375,89.684794520724,2.4842401624855,99.566561588808,99.566561588808,-0.22487289604183,99.566561588808,1.999459998652,1.999459998652,1.999459998652,-2.0204327557154,0,-0.6175318886835,1.999459998652,0,0.6171875,0.7734375,0.625,99.566561588808,0.78125,0.78125,0.640625,2.0420006597828,0.609375,89.684794520724,2.4842401624855,99.566561588808,99.566561588808,-0.22487289604183,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0.7734375,0.625,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-2.0204327557154,0,-0.6175318886835,0,1.999459998652,0.6171875,0,1.999459998652,99.566561588808,0.78125,0.640625,0.609375,0,0,99.566561588808,-0.22487289604183,0,99.566561588808,2.4842401624855,0,0,0,0,0.78125,0,99.566561588808,-2.0204327557154,0,-0.6175318886835,1.999459998652,0,0.6171875,0.7734375,0.625,99.566561588808,0.78125,0.78125,0.640625,2.0420006597828,0.609375,89.684794520724,2.4842401624855,99.566561588808,99.566561588808,-0.22487289604183,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0.7734375,0.625,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-2.0204327557154,0,-0.6175318886835,0,1.999459998652,0.6171875,0,1.999459998652,99.566561588808,0.78125,0.640625,0.609375,0,0,99.566561588808,-0.22487289604183,0,99.566561588808,2.4842401624855,0,0,0,0,0.78125,0,99.566561588808
4,-4.8234886491814,0,2.5378215977117,1.999459998652,0,0,0,0,99.566561588808,0,0,0,1.9511522988852,0,89.684794520724,6.2934019392274,99.566561588808,99.566561588808,-2.8739459084841,99.566561588808,1.999459998652,1.999459998652,1.999459998652,-4.8234886491814,0,2.5378215977117,1.999459998652,0,0,0,0,99.566561588808,0,0,0,1.9511522988852,0,89.684794520724,6.2934019392274,99.566561588808,99.566561588808,-2.8739459084841,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,1.9511522988852,89.684794520724,1.999459998652,0,1.999459998652,-4.8234886491814,0,2.5378215977117,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-2.8739459084841,0,99.566561588808,6.2934019392274,0,0,0,0,0,0,99.566561588808,-4.8234886491814,0,2.5378215977117,1.999459998652,0,0,0,0,99.566561588808,0,0,0,1.9511522988852,0,89.684794520724,6.2934019392274,99.566561588808,99.566561588808,-2.8739459084841,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,1.9511522988852,89.684794520724,1.999459998652,0,1.999459998652,-4.8234886491814,0,2.5378215977117,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-2.8739459084841,0,99.566561588808,6.2934019392274,0,0,0,0,0,0,99.566561588808
4,-4.1583082825715,0,4.5954820452135,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,6.2254771539804,99.566561588808,99.566561588808,-4.1226226251895,99.566561588808,1.999459998652,1.999459998652,1.999459998652,-4.1583082825715,0,4.5954820452135,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,6.2254771539804,99.566561588808,99.566561588808,-4.1226226251895,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-4.1583082825715,0,4.5954820452135,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-4.1226226251895,0,99.566561588808,6.2254771539804,0,0,0,0,0,0,99.566561588808,-4.1583082825715,0,4.5954820452135,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,6.2254771539804,99.566561588808,99.566561588808,-4.1226226251895,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-4.1583082825715,0,4.5954820452135,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-4.1226226251895,0,99.566561588808,6.2254771539804,0,0,0,0,0,0,99.566561588808
4,-2.9349815468931,0,6.2547982086784,1.999459998652,0,0,0,0,99.566561588808,0,0,0,1.9762215016181,0,89.684794520724,5.083157468438,99.566561588808,99.566561588808,-5.0531892029422,99.566561588808,1.999459998652,1.999459998652,1.999459998652,-2.9349815468931,0,6.2547982086784,1.999459998652,0,0,0,0,99.566561588808,0,0,0,1.9762215016181,0,89.684794520724,5.083157468438,99.566561588808,99.566561588808,-5.0531892029422,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,1.9762215016181,89.684794520724,1.999459998652,0,1.999459998652,-2.9349815468931,0,6.2547982086784,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-5.0531892029422,0,99.566561588808,5.083157468438,0,0,0,0,0,0,99.566561588808,-2.9349815468931,0,6.2547982086784,1.999459998652,0,0,0,0,99.566561588808,0,0,0,1.9762215016181,0,89.684794520724,5.083157468438,99.566561588808,99.566561588808,-5.0531892029422,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,1.9762215016181,89.684794520724,1.999459998652,0,1.999459998652,-2.9349815468931,0,6.2547982086784,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-5.0531892029422,0,99.566561588808,5.083157468438,0,0,0,0,0,0,99.566561588808
4,-1.6499590945651,0,7.2130467380473,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,3.3422282998764,99.566561588808,99.566561588808,-5.6520991275383,99.566561588808,1.999459998652,1.999459998652,1.999459998652,-1.6499590945651,0,7.2130467380473,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,3.3422282998764,99.566561588808,99.566561588808,-5.6520991275383,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-1.6499590945651,0,7.2130467380473,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-5.6520991275383,0,99.566561588808,3.3422282998764,0,0,0,0,0,0,99.566561588808,-1.6499590945651,0,7.2130467380473,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,3.3422282998764,99.566561588808,99.566561588808,-5.6520991275383,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-1.6499590945651,0,7.2130467380473,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-5.6520991275383,0,99.566561588808,3.3422282998764,0,0,0,0,0,0,99.566561588808
4,-0.2321536362361,0,5.1404702938165,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,1.053328131818,99.566561588808,99.566561588808,-4.1158111939757,99.566561588808,1.999459998652,1.999459998652,1.999459998652,-0.2321536362361,0,5.1404702938165,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,1.053328131818,99.566561588808,99.566561588808,-4.1158111939757,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-0.2321536362361,0,5.1404702938165,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-4.1158111939757,0,99.566561588808,1.053328131818,0,0,0,0,0,0,99.566561588808,-0.2321536362361,0,5.1404702938165,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,1.053328131818,99.566561588808,99.566561588808,-4.1158111939757,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-0.2321536362361,0,5.1404702938165,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-4.1158111939757,0,99.566561588808,1.053328131818,0,0,0,0,0,0,99.566561588808
4,1.9919133118602,0,2.0811878524184,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,-2.6563144091074,99.566561588808,99.566561588808,-1.7401793184598,99.566561588808,1.999459998652,1.999459998652,1.999459998652,1.9919133118602,0,2.0811878524184,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,-2.6563144091074,99.566561588808,99.566561588808,-1.7401793184598,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,1.9919133118602,0,2.0811878524184,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-1.7401793184598,0,99.566561588808,-2.6563144091074,0,0,0,0,0,0,99.566561588808,1.9919133118602,0,2.0811878524184,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,-2.6563144091074,99.566561588808,99.566561588808,-1.7401793184598,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,1.9919133118602,0,2.0811878524184,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,-1.7401793184598,0,99.566561588808,-2.6563144091074,0,0,0,0,0,0,99.566561588808
4,0.0,0,0.0,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,0.0,99.566561588808,99.566561588808,0.0,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0.0,0,0.0,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,0.0,99.566561588808,99.566561588808,0.0,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,0.0,0,0.0,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,0.0,0,99.566561588808,0.0,0,0,0,0,0,0,99.566561588808,0.0,0,0.0,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,0.0,99.566561588808,99.566561588808,0.0,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,0.0,0,0.0,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,0.0,0,99.566561588808,0.0,0,0,0,0,0,0,99.566561588808
4,-1.4897313152675,0,-1.408924098383,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,1.3904795168848,99.566561588808,99.566561588808,1.2218324958035,99.566561588808,1.999459998652,1.999459998652,1.999459998652,-1.4897313152675,0,-1.408924098383,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,1.3904795168848,99.566561588808,99.566561588808,1.2218324958035,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-1.4897313152675,0,-1.408924098383,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,1.2218324958035,0,99.566561588808,1.3904795168848,0,0,0,0,0,0,99.566561588808,-1.4897313152675,0,-1.408924098383,1.999459998652,0,0,0,0,99.566561588808,0,0,0,2.0420006597828,0,89.684794520724,1.3904795168848,99.566561588808,99.566561588808,1.2218324958035,99.566561588808,1.999459998652,1.999459998652,1.999459998652,0,0,0,0,0,0,0,0,2.0420006597828,89.684794520724,1.999459998652,0,1.999459998652,-1.4897313152675,0,-1.408924098383,0,1.999459998652,0,0,1.999459998652,99.566561588808,0,0,0,0,0,99.566561588808,1.2218324958035,0,99.566561588808,1.3904795168848,0,0,0,0,0,0,99.566561588808
