ID,con_3,rob_1_maxVel,cam_1_Y.4,cam_1_Y.2,con_1.1,rob_2_3.4,rob_2_vacuum.1,rob_2_supply.4,con_1.3,rob_2_supply.3,cam_2_Y,EoL_2_X,cam_1_X2,rob_2_4.3,rob_1_1,rob_2_1.2,rob_2_supply.1,rob_2_maxVel.3,rob_2_maxVel.4,cam_3_X,rob_2_maxVel.2,rob_2_maxVel.1,rob_2_4.4,rob_2_supply.2,rob_2_1.1,rob_1_2,cam_1_Y.1,rob_2_4.2,EoL_5_X,rob_2_4.1,rob_2_3.3,EoL_2_Y,rob_2_3.2,cam_3_Y,rob_2_1.4,con_2,rob_2_3.1,rob_2_2.4,con_1.2,cam_1_Y.3,con_1.4,rob_2_2.2,EoL_1_X,rob_2_1.3,EoL_5_Y,rob_1_vacuum,EoL_4_X,rob_1_supply,EoL_4_Y,EoL_3_Y,cam_1_X3,rob_1_4,rob_1_3,EoL_1_Y,EoL_6_X,cam_1_X4,cam_2_X,rob_2_2.3,EoL_6_Y,EoL_3_X,rob_2_2.1,cam_1_X1
9,95,1.950732382,0.625,0.647170722,345,0,0,99.8907963,345,99.55344428,0.7734375,0.6328125,0.626697063,0,0,0,99.857996,1.988715331,2.006554696,0.7578125,2.019765715,1.979887135,0,99.90397562,0,0,0.6328125,0,0.2109375,0,0,0.6328125,0,0.7734375,0,527,0,0,345,0.625,345,0,0.7578125,0,0.2109375,0,0.2109375,99.89850931,0.2109375,0.2109375,0.6171875,0,0,0.7734375,0.215507612,0.6171875,0.7578125,0,0.220245674,0.203125,0,0.6328125
9,74.97823214,1.971557092,,,74.98574304,-2.101851315,0,99.8907963,74.99042603,99.55344428,,,,1.161698092,-1.971609788,-0.017813126,99.857996,2.027005401,2.043739988,,1.983880973,1.999783229,1.408676145,99.90397562,2.179058357,2.499109378,,1.731631548,,1.702420243,-2.396737006,,-2.880018912,,1.267166091,75.00067086,-2.439608501,0.03177545,74.98409537,,74.99514203,-0.625671,,1.347125719,,0,,99.89850931,,,,-0.259171218,-0.640922061,,,,,-0.987924682,,,0.503636387,
9,0.008434893,2.00331919,,,0.013917844,-6.978354824,0,99.8907963,0.01132991,99.55344428,,,,3.709848409,-4.711822132,1.430961636,99.857996,1.997405457,2.043739988,,2.011745453,2.016408268,4.417962723,99.90397562,6.885169472,6.378791293,,4.650537935,,3.906976305,-7.804321774,,-9.289070715,,3.329619328,0.011041836,-6.762053236,-2.331830053,0.012260436,,0.012548167,-3.436838384,,3.845015067,,0,,99.95719462,,,,-2.885540269,2.556421651,,,,,-5.760074496,,,-2.203632993,
9,,1.971557092,,,,-7.283946376,0,99.55498136,,99.55344428,,,,2.877286235,-4.046766688,2.560806835,99.59827586,1.997405457,1.980508747,,2.011745453,2.050740029,3.672956502,99.90397562,7.686779406,6.346050842,,4.256485046,,1.895506069,-6.650040723,,-9.846391989,,4.444726757,,-6.470559131,-5.232999313,,,,-7.915535782,,4.81018485,,0,,99.8322026,,,,-4.096844935,4.683376399,,,,,-9.266055176,,,-5.174263433,
9,,1.971557092,,,,-5.970267411,0,99.55498136,,99.55344428,,,,1.627797542,-2.846468486,3.562763113,99.59827586,1.997405457,1.953675958,,2.01534869,1.998751829,2.44283825,99.90397562,7.618298723,5.190269407,,3.37694673,,-0.023416498,-3.563868949,,-6.910742625,,5.231585171,,-4.692749184,-7.928187104,,,,-11.1136154,,5.435300617,,0,,99.8322026,,,,-4.997375603,6.411011658,,,,,-10.47840022,,,-7.781084185,
9,,1.971557092,,,,-3.56050088,0,99.55498136,,99.55344428,,,,0.357358909,-1.5893071,4.409971112,99.59827586,1.990460218,1.967358813,,1.964090798,2.016408268,1.181485039,99.90397562,7.25972791,3.397654229,,2.335803009,,-1.508804811,-0.741711604,,-2.931062588,,5.703660475,,-2.126300176,-9.277794203,,,,-10.89986815,,5.717031203,,0,,99.8322026,,,,-5.585791943,7.390193344,,,,,-9.681892846,,,-9.215829112,
9,,1.977027811,,,,-1.06432274,0,99.55498136,,99.55344428,,,,-2.402138678,-0.19759472,4.538335917,99.59827586,1.990460218,1.967358813,,1.997974844,2.016408268,-0.0458723,99.78933214,3.343900825,1.063708734,,1.129405802,,-1.787472221,4.072916219,,0.043724936,,5.756070007,,0.440799695,-8.919677264,,,,-8.465732338,,3.938301605,,0,,99.8322026,,,,-4.090130771,5.265047223,,,,,-5.764620281,,,-4.425374738,
9,,1.977027811,,,,3.754730883,0,99.55498136,,99.55344428,,,,0,1.967674395,2.80662905,99.64664195,1.990460218,1.967358813,,1.997974844,2.013153799,-2.478698877,99.78933214,0.926434265,-2.716367063,,-2.057021382,,-1.170724167,0,,4.250446777,,3.570383076,,2.118664041,-5.060417964,,,,-4.167130914,,0,,0,,99.8322026,,,,-1.733659392,2.126230925,,,,,0,,,-1.299806837,
9,,1.977027811,,,,0,0,99.55498136,,99.55344428,,,,1.713406424,0,0,99.64664195,1.990460218,1.967358813,,1.997974844,2.013153799,0,99.78933214,3.153365451,0,,0,,-3.562210751,-1.958603416,,0,,0,,5.722672723,0,,,,0,,-1.534026636,,0,,99.8322026,,,,0,0,,,,,2.102714104,,,-4.384423443,
9,,1.977027811,,,,-1.961556501,0,99.55498136,,99.94255493,,,,3.981069233,-1.489093344,-1.717976586,99.64664195,1.970317649,1.967358813,,1.997974844,2.013153799,1.703574643,99.78933214,0,1.429810933,,1.928661708,,0,-5.318375939,,-2.20714593,,-1.521247799,,0,2.070686585,,,,2.340031592,,-3.220190933,,0,,99.8322026,,,,1.236227078,-1.46299584,,,,,4.271700826,,,0,
