ID,con_3,rob_1_maxVel,cam_1_Y.4,cam_1_Y.2,con_1.1,con_1.3,cam_2_Y,EoL_2_X,cam_1_X2,rob_2_vacuum.1,rob_1_1,rob_2_1.2,rob_2_supply.1,rob_2_maxVel.3,rob_2_supply.4,cam_3_X,rob_2_supply.3,rob_2_maxVel.2,rob_2_maxVel.4,rob_2_supply.2,rob_2_1.1,rob_1_2,cam_1_Y.1,rob_2_maxVel.1,EoL_5_X,rob_2_4.3,rob_2_4.2,EoL_2_Y,rob_2_4.1,cam_3_Y,rob_2_3.3,con_2,rob_2_3.2,rob_2_3.1,con_1.2,cam_1_Y.3,con_1.4,rob_2_2.2,EoL_1_X,rob_2_1.3,EoL_5_Y,rob_1_vacuum,EoL_4_X,rob_1_supply,EoL_4_Y,EoL_3_Y,cam_1_X3,rob_1_4,rob_1_3,EoL_1_Y,EoL_6_X,cam_1_X4,cam_2_X,rob_2_2.3,EoL_6_Y,EoL_3_X,rob_2_2.1,cam_1_X1,rob_2_3.4,rob_2_4.4,rob_2_1.4,rob_2_2.4
9,95,1.950732382,0.625,0.6328125,345,345,0.7734375,0.640625,0.6328125,0,0,-1.483539896,99.77909988,0.709456145,99.64190825,0.7578125,99.56309299,0.694067864,0.738402777,99.89024908,-2.490958303,0,0.640625,0.703453271,0.2109375,1.217625881,0.882848983,0.6328125,1.191364457,0.7734375,-1.171551232,527,-1.229904325,-0.889646238,345,0.6328125,345,3.127458458,0.7578125,-2.057663416,0.21875,0,0.2109375,99.94748937,0.21875,0.21875,0.6171875,0,0,0.7734375,,0.6171875,0.7578125,2.215125463,,0.2109375,1.664415389,0.6328125,,,,
9,74.97857381,1.967174337,,,74.98726186,74.99072067,,,,0,-1.974073435,-0.84810124,99.77909988,0.708021383,99.64190825,,99.56309299,0.692133234,0.723251055,99.89024908,-0.468571666,2.499916738,,0.705793547,,1.918273457,1.745697516,,2.155627895,,-1.857903053,74.99411669,-2.45817501,-1.762098379,74.98343829,,74.99790984,0.713570989,,-0.409316034,,0,,99.94748937,,,,-0.253925353,-0.639328994,,,,,-0.012896674,,,0.693970038,,,,,
9,0.00953051,1.977027811,,,0.014296586,0.011888928,,,,0,-4.671914037,-0.077463739,99.77909988,0.697405457,99.93087325,,99.56309299,0.697974844,0.716468619,99.78933214,1.063682806,6.319429519,,0.705793547,,2.226127402,2.138129912,,2.635027362,,-2.187247868,0.011184177,-3.074569036,-2.225211614,0.012784898,,0.012905894,-1.284044169,,1.060665102,,0,,99.58462158,,,,-2.853196133,2.523747233,,,,,-1.745590348,,,-0.319178117,,,,,
9,,1.971557092,,,,,,,,0,-4.008830546,0.072784374,99.77909988,0.697405457,99.93087325,,99.56309299,0.692133234,0.653675958,99.78933214,1.325292492,6.273788358,,0.722599751,,2.133125993,2.112178156,,2.50727687,,-2.032852925,,-3.007647542,-2.190742722,,,,-1.682937212,,1.284921922,,0,,99.58462158,,,,-4.03030776,4.592500867,,,,,-2.003315295,,,-0.546243316,,,,,
9,,1.971557092,,,,,,,,0,-2.842574283,0.239701363,99.77909988,0.697405457,99.93087325,,99.56309299,0.697974844,0.723251055,99.78933214,1.594983391,5.164814019,,0.722599751,,2.001168215,2.076639075,,2.336553748,,-1.844680682,,-2.864870208,-2.151738036,,,,-2.069683562,,1.522941597,,0,,99.8322026,,,,-4.913145764,6.28926562,,,,,-2.212276457,,,-0.769345179,,,,,
9,,1.971557092,,,,,,,,0,-1.617990556,0.412785183,99.77909988,0.697405457,99.93087325,,99.56309299,0.711745453,0.743739988,99.65259321,1.850906204,3.430810786,,0.722599751,,1.837042696,2.033710163,,2.125316325,,-1.624102288,,-2.646652811,-2.097665679,,,,-2.419627214,,1.754063479,,0,,99.8322026,,,,-5.494510984,7.271018159,,,,,-2.378340276,,,-0.99666935,,,,,
9,,2.00331919,,,,,,,,0,-0.271611711,0.591597396,99.77909988,0.697405457,99.93087325,,99.56309299,0.664090798,0.743739988,99.65259321,2.079218479,1.182833764,,0.722599751,,1.646076017,1.979982622,,1.882354332,,-1.378889307,,-2.359460329,-2.022569576,,,,-2.702497422,,1.969714828,,0,,99.8322026,,,,-4.269083946,5.509157496,,,,,-2.500530245,,,-1.224467855,,,,,
9,,2.00331919,,,,,,,,0,1.958090341,0.775773558,99.59827586,0.687777784,99.93087325,,99.94255493,0.664090798,0.743739988,99.65259321,2.269222489,-2.685966935,,0.750740029,,1.435834182,1.912108892,,1.619987,,-1.118694473,,-2.020377879,-1.921975445,,,,-2.898923003,,2.163706596,,0,,99.8322026,,,,-1.809311942,2.221856269,,,,,-2.581991132,,,-1.446914461,,,,,
9,,2.00331919,,,,,,,,0,0,0.964253309,99.86238906,0.697405457,99.93087325,,99.94255493,0.71534869,0.727607424,99.65259321,2.414821092,0,,0.696126532,,1.21542261,1.827557094,,1.351624883,,-0.852583062,,-1.652963329,-1.793178712,,,,-3.006190915,,2.332332587,,0,,99.8322026,,,,0,0,,,,,-2.629882435,,,-1.657632802,,,,,
9,,2.00331919,,,,,,,,0,-1.463422094,1.155314424,99.86238906,0.708021383,99.93087325,,99.94255493,0.711745453,0.680508747,99.65259321,2.515443016,1.400503892,,0.698751829,,0.994100392,1.725008278,,1.08933391,,-0.587223758,,-1.280842439,-1.635824961,,,,-3.036386784,,2.475119694,,0,,99.8322026,,,,1.214231009,-1.436557808,,,,,-2.653870255,,,-1.850557624,,,,,
9,,1.994354066,,,,,,,,0,-4.193191449,1.346975581,99.86238906,0.703585339,99.55498136,,99.59989033,0.664090798,0.680508747,99.65259321,2.575384685,4.730586326,,0.716408268,,0.780426875,1.604479698,,0.842354209,,-0.325372222,,-0.922499413,-1.452021397,,,,-3.009863591,,2.595120322,,89.80752676,,99.63047794,,,,3.234844969,-3.743227299,,,,,-2.665014733,,,-2.020949305,,,,,
9,,1.977027811,,,,,,,,0,-0.525084846,1.537243371,99.59827586,0.694829379,99.55498136,,99.59989033,0.71534869,0.743739988,99.65259321,2.602169257,0.336283756,,0.698751829,,0.582328297,1.467565607,,0.616862696,,-0.064267304,,-0.588770549,-1.245765773,,,,-2.948769354,,2.699281771,,89.80752676,,99.63047794,,,,2.272874835,-2.755876294,,,,,-2.675528689,,,-2.166230512,,,,,
9,,1.971557092,,,,,,,,0,1.268509526,1.724666655,99.59827586,0.708021383,99.55498136,,99.59989033,0.664090798,0.743739988,99.65259321,2.604979819,-2.184804885,,0.716408268,,0.410904035,1.317388262,,0.416333763,,0.210366022,,-0.282976706,-1.022102288,,,,-2.872901479,,2.799797131,,89.91682418,,99.8322026,,,,5.357432885,-6.932807142,,,,,-2.701401987,,,-2.286165349,,,,,
9,,2.003395153,,,,,,,,0,2.529043848,1.908949825,99.68875496,0.697405457,99.55498136,,99.59989033,0.664090798,0.743739988,99.59953857,2.593144082,-4.099027658,,0.728267453,,-1.495040062,1.158637631,,0.242878212,,1.458963548,,-0.002055218,-0.785413793,,,,-2.798465793,,2.404095349,,89.91682418,,99.8322026,,,,5.061999426,-6.806423679,,,,,-2.160893669,,,-2.382975988,,,,,
