cam_1_X,cam_1_Y,cam_2_X,cam_2_Y,cam_3_X,cam_3_Y,EoL_3_X,EoL_4_X,EoL_5_X,EoL_6_X,EoL_3_Y,EoL_4_Y,EoL_5_Y,EoL_6_Y,EoL_1_X,EoL_1_Y,EoL_2_X,EoL_2_Y,score,con_1,con_2,con_3,rob_1_1,rob_1_2,rob_1_4,rob_1_maxVel,rob_1_gripper,rob_1_3,rob_2_1,rob_2_2,rob_2_4,rob_2_maxVel,rob_2_gripper,rob_2_3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49221259260106,79.49221259260106,79.49221259260106,0.0,0.0,0.0,4.999615565429156,100.69741124647096,0.0,0.0,0.0,0.0,4.994816115644288,100.62653402408542,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49221259260106,80.75907544289522,80.41572924764161,0.0,0.0,0.0,5.001805917867732,100.15606354246358,0.0,0.0,0.0,0.0,5.02003792359764,100.12755872290909,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49221259260106,79.49221259260106,79.49221259260106,0.0,0.0,-1.2490009027033013e-15,4.987422415792846,99.920955996205,0.0,0.0,0.0,-1.2490009027033013e-15,5.013271851171567,100.10463429336856,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.41572924764161,79.49221259260106,79.49221259260106,0.0,0.0,0.0,5.004592215077009,100.13445156234025,0.0,0.0,0.0,0.0,4.978809304736355,99.54227371546486,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49221259260106,80.41572924764161,79.49221259260106,0.0,0.0,0.0,4.987358296869369,100.5275318214739,0.0,0.0,0.0,0.0,4.946132884111189,99.54227371546486,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49221259260106,79.49221259260106,79.49221259260106,0.0,0.0,0.0,5.004592215077009,100.13445156234025,0.0,0.0,0.0,0.0,4.9506197326522905,99.5387136795348,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.75907544289522,79.49221259260106,79.49221259260106,0.0,0.0,0.0,4.9975250238831,99.86731238800247,0.0,0.0,0.0,0.0,4.978809304736355,100.26762775082008,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49221259260106,80.41572924764161,79.49221259260106,0.0,0.0,0.0,5.0186242335321225,99.86731238800247,0.0,0.0,0.0,0.0,5.0452718666432,99.4451160876374,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49221259260106,79.49221259260106,79.49221259260106,0.0,0.0,0.0,4.9975250238831,99.86731238800247,0.0,0.0,0.0,0.0,5.055955471240991,99.94669399379528,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.49221259260106,79.49221259260106,79.49221259260106,0.0,0.0,0.0,4.987358296869369,99.14084651873678,0.0,0.0,0.0,0.0,4.986255050289926,100.26762775082008,0.0
