assembly,cam 1,cam 2,cam 3,pick 1,place 1,pick 2,place 2,cam EoL
1,4.549999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.549999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,7.399999999999982,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,7.449999999999981,0.0,0.0,0.0,0.0,0.0
1,8.549999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.550000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,12.100000000000035,0.0,0.0,0.0,0.0
2,12.600000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,13.200000000000053,0.0,0.0,0.0
2,14.600000000000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,15.450000000000085,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,15.500000000000083,0.0,0.0,0.0,0.0,0.0
2,16.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.60000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,20.10000000000015,0.0,0.0,0.0,0.0
3,20.60000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,21.35000000000017,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,21.850000000000176,0.0,0.0
3,22.600000000000183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,23.4500000000002,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,23.5000000000002,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,24.00000000000021,0.0
1,0.0,0.0,0.0,0.0,0.0,24.00000000000021,0.0,0.0
3,24.60000000000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,26.40000000000024,0.0
1,0.0,0.0,0.0,0.0,0.0,26.40000000000024,0.0,0.0
3,26.600000000000243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,28.050000000000264,0.0,0.0,0.0,0.0
4,28.60000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,28.850000000000275,0.0
1,0.0,0.0,0.0,0.0,0.0,28.850000000000275,0.0,0.0
3,0.0,0.0,0.0,0.0,29.30000000000028,0.0,0.0,0.0
4,30.6000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,31.30000000000031,0.0
2,0.0,0.0,0.0,0.0,0.0,31.30000000000031,0.0,0.0
4,0.0,31.450000000000312,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,31.500000000000316,0.0,0.0,0.0,0.0,0.0
4,32.600000000000286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75000000000022
2,0.0,0.0,0.0,0.0,0.0,0.0,33.850000000000215,0.0
2,0.0,0.0,0.0,0.0,0.0,33.850000000000215,0.0,0.0
4,34.60000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,36.00000000000009,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,36.40000000000007,0.0
2,0.0,0.0,0.0,0.0,0.0,36.40000000000007,0.0,0.0
5,36.60000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,37.350000000000016,0.0,0.0,0.0
5,38.599999999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,38.84999999999993,0.0
2,0.0,0.0,0.0,0.0,0.0,38.84999999999993,0.0,0.0
5,0.0,39.449999999999896,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,39.49999999999989,0.0,0.0,0.0,0.0,0.0
5,40.59999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,41.69999999999977,0.0
3,0.0,0.0,0.0,0.0,0.0,41.69999999999977,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79999999999976
5,42.59999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,43.94999999999964,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,44.24999999999962,0.0
3,0.0,0.0,0.0,0.0,0.0,44.24999999999962,0.0,0.0
6,44.6499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,45.29999999999957,0.0,0.0,0.0
6,46.64999999999949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,46.79999999999948,0.0
3,0.0,0.0,0.0,0.0,0.0,46.79999999999948,0.0,0.0
6,0.0,47.49999999999944,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,47.54999999999944,0.0,0.0,0.0,0.0,0.0
6,48.64999999999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,49.34999999999933,0.0
3,0.0,0.0,0.0,0.0,0.0,49.34999999999933,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.79999999999931
6,50.64999999999926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,51.89999999999919,0.0
4,0.0,0.0,0.0,0.0,0.0,51.89999999999919,0.0,0.0
6,0.0,0.0,0.0,51.94999999999919,0.0,0.0,0.0,0.0
7,52.69999999999914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,53.29999999999911,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,54.39999999999905,0.0
4,0.0,0.0,0.0,0.0,0.0,54.39999999999905,0.0,0.0
7,54.69999999999903,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,55.54999999999898,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,55.59999999999898,0.0,0.0,0.0,0.0,0.0
7,56.69999999999892,0.0,0.0,0.0,0.0,0.0,0.0,0.0
