assembly,cam 1,cam 2,cam 3,pick 1,place 1,pick 2,place 2,cam EoL
1,4.549999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.549999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,7.399999999999982,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,7.449999999999981,0.0,0.0,0.0,0.0,0.0
1,8.549999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10.550000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,12.100000000000035,0.0,0.0,0.0,0.0
2,12.600000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,13.200000000000053,0.0,0.0,0.0
2,14.600000000000072,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,15.450000000000085,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,15.500000000000083,0.0,0.0,0.0,0.0,0.0
2,16.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,18.60000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,20.10000000000015,0.0,0.0,0.0,0.0
3,20.60000000000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,21.35000000000017,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,21.850000000000176,0.0,0.0
3,22.600000000000183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,23.050000000000196,0.0
3,0.0,23.4500000000002,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,23.5000000000002,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,23.800000000000203,0.0,0.0
3,24.60000000000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,25.10000000000022,0.0
1,0.0,0.0,0.0,0.0,0.0,25.75000000000023,0.0,0.0
3,26.600000000000243,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,27.05000000000025,0.0
1,0.0,0.0,0.0,0.0,0.0,27.70000000000026,0.0,0.0
3,0.0,0.0,0.0,28.050000000000264,0.0,0.0,0.0,0.0
4,28.60000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,29.00000000000028,0.0
3,0.0,0.0,0.0,0.0,29.30000000000028,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,29.700000000000287,0.0,0.0
4,30.6000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,31.000000000000306,0.0
4,0.0,31.450000000000312,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,31.500000000000316,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,31.650000000000315,0.0,0.0
4,32.600000000000286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,33.05000000000026,0.0
2,0.0,0.0,0.0,0.0,0.0,33.60000000000023,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75000000000022
4,34.60000000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,35.00000000000015,0.0
2,0.0,0.0,0.0,0.0,0.0,35.600000000000115,0.0,0.0
4,0.0,0.0,0.0,36.00000000000009,0.0,0.0,0.0,0.0
5,36.60000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,37.00000000000004,0.0
4,0.0,0.0,0.0,0.0,37.350000000000016,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,37.55,0.0,0.0
5,38.599999999999945,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,39.04999999999992,0.0
5,0.0,39.449999999999896,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,39.49999999999989,0.0,0.0
5,0.0,0.0,39.49999999999989,0.0,0.0,0.0,0.0,0.0
5,40.59999999999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,40.89999999999981,0.0
3,0.0,0.0,0.0,0.0,0.0,41.49999999999978,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79999999999976
5,42.59999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,42.8999999999997,0.0
3,0.0,0.0,0.0,0.0,0.0,43.44999999999967,0.0,0.0
5,0.0,0.0,0.0,43.94999999999964,0.0,0.0,0.0,0.0
6,44.6499999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,44.84999999999959,0.0
5,0.0,0.0,0.0,0.0,45.29999999999957,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,45.44999999999956,0.0,0.0
6,46.64999999999949,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,47.04999999999946,0.0
4,0.0,0.0,0.0,0.0,0.0,47.44999999999944,0.0,0.0
6,0.0,47.49999999999944,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,47.54999999999944,0.0,0.0,0.0,0.0,0.0
6,48.64999999999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,48.84999999999936,0.0
4,0.0,0.0,0.0,0.0,0.0,49.39999999999933,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.79999999999931
6,50.64999999999926,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,50.79999999999925,0.0
4,0.0,0.0,0.0,0.0,0.0,51.39999999999922,0.0,0.0
6,0.0,0.0,0.0,51.99999999999918,0.0,0.0,0.0,0.0
7,52.69999999999914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,52.79999999999914,0.0
