score
"{'root_cause': 'rob_2_maxVel', 'score': 93.4411528534542, 'paths': ['rob_2_maxVel', 'rob_2_1', 'EoL_3_X', 'score']}"
"{'root_cause': 'rob_1_vacuum', 'score': 28.74015297297519, 'paths': ['rob_1_vacuum', 'EoL_2_X', 'score']}"
"{'root_cause': 'rob_1_maxVel', 'score': 28.35610603079611, 'paths': ['rob_1_maxVel', 'rob_1_1', 'EoL_2_X', 'score']}"
