score
"{'root_cause': 'cam_3_X', 'score': 280.10437225357043, 'paths': ['cam_3_X', 'rob_1_1', 'EoL_2_X', 'score']}"
"{'root_cause': 'cam_3_Y', 'score': 235.34082410888118, 'paths': ['cam_3_Y', 'rob_1_1', 'EoL_2_X', 'score']}"
"{'root_cause': 'rob_1_maxVel', 'score': 231.88144800315834, 'paths': ['rob_1_maxVel', 'rob_1_1', 'EoL_2_X', 'score']}"
