assembly,cam 1,cam 2,cam 3,pick 1,place 1,cam EoL
1,3.099999999999997,0.0,0.0,0.0,0.0,0.0
1,5.09999999999999,0.0,0.0,0.0,0.0,0.0
1,0.0,5.999999999999987,0.0,0.0,0.0,0.0
1,0.0,0.0,5.999999999999987,0.0,0.0,0.0
1,7.099999999999983,0.0,0.0,0.0,0.0,0.0
1,9.099999999999994,0.0,0.0,0.0,0.0,0.0
2,11.150000000000023,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,12.100000000000035,0.0,0.0
2,13.150000000000052,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,13.200000000000053,0.0
2,0.0,14.050000000000065,0.0,0.0,0.0,0.0
2,0.0,0.0,14.050000000000065,0.0,0.0,0.0
2,15.15000000000008,0.0,0.0,0.0,0.0,0.0
2,17.15000000000011,0.0,0.0,0.0,0.0,0.0
3,19.150000000000137,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,20.10000000000015,0.0,0.0
3,21.15000000000017,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,21.35000000000017,0.0
3,0.0,22.05000000000018,0.0,0.0,0.0,0.0
3,0.0,0.0,22.05000000000018,0.0,0.0,0.0
3,23.150000000000198,0.0,0.0,0.0,0.0,0.0
3,25.150000000000222,0.0,0.0,0.0,0.0,0.0
4,27.15000000000025,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,28.050000000000264,0.0,0.0
4,29.15000000000028,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,29.30000000000028,0.0
4,0.0,30.00000000000029,0.0,0.0,0.0,0.0
4,0.0,0.0,30.05000000000029,0.0,0.0,0.0
4,31.150000000000308,0.0,0.0,0.0,0.0,0.0
4,33.150000000000254,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,33.75000000000022
5,35.15000000000014,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,36.00000000000009,0.0,0.0
5,37.15000000000003,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,37.350000000000016,0.0
5,0.0,38.049999999999976,0.0,0.0,0.0,0.0
5,0.0,0.0,38.049999999999976,0.0,0.0,0.0
5,39.14999999999991,0.0,0.0,0.0,0.0,0.0
5,41.1499999999998,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,41.79999999999976
6,43.19999999999968,0.0,0.0,0.0,0.0,0.0
