score
"{'root_cause': 'rob_2_maxVel', 'score': 130.87805735231507, 'paths': ['rob_2_maxVel', 'rob_2_1', 'EoL_3_X', 'score']}"
"{'root_cause': 'rob_1_maxVel', 'score': 72.95500767613174, 'paths': ['rob_1_maxVel', 'rob_1_1', 'EoL_2_X', 'score']}"
"{'root_cause': 'rob_1_3', 'score': 69.11176884882029, 'paths': ['rob_1_3', 'EoL_2_X', 'score']}"
