ID,rob_2_2.3,EoL_3_Y,cam_1_Y.4,rob_1_2,con_1.1,cam_1_X3,rob_1_3,con_1.2,cam_1_Y.3,EoL_4_Y,EoL_2_Y,rob_2_1.3,rob_2_vacuum.1,rob_2_maxVel.3,rob_1_supply,rob_2_supply.4,rob_2_1.1,rob_2_supply.3,rob_2_4.2,con_1.3,rob_2_supply.2,rob_2_2.1,EoL_3_X,EoL_5_X,rob_2_supply.1,rob_2_2.2,con_3,cam_1_Y.2,rob_2_1.2,rob_2_maxVel.4,rob_2_4.1,rob_1_1,cam_2_Y,rob_2_maxVel.1,rob_2_4.3,rob_2_maxVel.2,cam_3_Y,cam_1_X1,EoL_1_Y,rob_2_3.1,con_2,rob_2_3.2,rob_1_vacuum,rob_1_maxVel,rob_1_4,cam_2_X,cam_1_X4,EoL_1_X,EoL_6_X,EoL_6_Y,cam_1_X2,EoL_2_X,con_1.4,cam_1_Y.1,cam_3_X,EoL_5_Y,rob_2_3.3,EoL_4_X,rob_2_3.4,rob_2_1.4,rob_2_4.4,rob_2_2.4
8,-1.5693459116353,,,5.1485710041809,,,6.2956663186972,,,,,1.7516502144981,0,0.71349841299715,99.512785876749,99.773823338561,1.5510156185004,99.674892066071,2.1023991401286,,99.996047798477,-0.71789469980963,,,99.997292634519,-2.0444218327694,,,0.25561751900892,0.69412112977444,2.3749022522215,-2.8637778996904,,0.71726027581102,1.4876256426475,0.67705815123297,,,,-2.0677306145867,,-2.7575284491152,0,2.010149928015,-4.9711651809949,,,,,,,,,,,,-2.0230353120713,,,,,
8,-1.7990558357298,,,3.4045191966169,,,7.2741771832861,,,,,1.8790554123146,0,0.65539868125698,99.512785876749,99.773823338561,1.8117549916783,99.674892066071,2.061641248354,,99.996047798477,-0.92714239981955,,,99.997292634519,-2.3677889111699,,,0.43343740921713,0.69686433286723,2.1699527496193,-1.6162112642031,,0.69667875929485,1.316075838259,0.68377179579868,,,,-2.0145580180388,,-2.5399038580098,0,2.010149928015,-5.5568096567071,,,,,,,,,,,,-1.9070684313726,,,,,
8,-2.0063364627363,,,1.1308035571979,,,5.3688146441824,,,,,1.9829690006828,0,0.65539868125698,99.512785876749,99.773823338561,2.0474700577942,99.674892066071,2.0090728022675,,99.996047798477,-1.1365663368845,,,99.997292634519,-2.6283176026874,,,0.61821803536453,0.69707817383469,1.9305593554375,-0.24206823964549,,0.73196612889404,1.1394294772478,0.71711925471059,,,,-1.9433984042027,,-2.2610969473335,0,2.010149928015,-4.2010242502987,,,,,,,,,,,,-1.756740144465,,,,,
8,-2.1836765575337,,,-2.6833489231103,,,2.1646978184525,,,,,2.0634704873087,0,0.65539868125698,99.512785876749,99.773823338561,2.2463071854982,99.674892066071,1.9411532887836,,99.996047798477,-1.3414915794838,,,99.997292634519,-2.8106242486033,,,0.80943203760223,0.71347196914482,1.6691879295414,1.9701213181008,,0.73196612889404,0.96306462645646,0.67613621792462,,,,-1.8503897133624,,-1.9365242043266,0,2.010149928015,-1.7757836444073,,,,,,,,,,,,-1.5748803582066,,,,,
8,-2.3265258629377,,,0.0,,,0.0,,,,,2.1223364348971,0,0.65539868125698,99.512785876749,99.773823338561,2.4007735180221,99.674892066071,1.8551698123216,,99.996047798477,-1.5367619646528,,,99.997292634519,-2.9133609834202,,,1.0058359618099,0.67877120682744,1.3997933702656,0.0,,0.73196612889404,0.7917288086649,0.69368898349122,,,,-1.7330700923046,,-1.5867688482321,0,2.010149928015,0.0,,,,,,,,,,,,-1.3674096725022,,,,,
8,-2.4338054203007,,,1.4034510657411,,,-1.4337442625153,,,,,2.1626573180592,0,0.65539868125698,99.512785876749,99.773823338561,2.5090315887914,99.674892066071,1.7496284058482,,99.996047798477,-1.7173752183698,,,99.997292634519,-2.9474011553047,,,1.205541248849,0.69707817383469,1.1351608828572,-1.47433184168,,0.73196612889404,0.62925337111471,0.69368898349122,,,,-1.590836885122,,-1.2323596797038,0,2.010149928015,1.2198042880527,,,,,,,,,,,,-1.142229405482,,,,,
8,-2.5077398879668,,,4.6955663969867,,,-3.7127799348233,,,,,2.1882965390914,0,0.71038313018686,99.512785876749,99.773823338561,2.5744307212688,99.674892066071,1.624652325354,,99.996047798477,-1.8793652169215,,,99.515152068911,-2.9306647319621,,,1.4061857753666,0.69707817383469,0.88527249915756,-4.1993801544783,,0.7323547778551,0.47863357113397,0.70415474558653,,,,-1.4249609734487,,-0.88936224958722,89.512785876749,2.0106485986595,3.2301136156047,,,,,,,,,,,,-0.90753637110174,,,,,
8,-2.5530944851787,,,0.32612599552792,,,-2.7393956670671,,,,,2.203420980288,0,0.71349841299715,99.512785876749,99.773823338561,2.6041477709209,99.720065455949,1.481994801847,,99.644198801371,-2.0202969631024,,,99.515152068911,-2.8826860403629,,,1.6055096732901,0.69686433286723,0.65669117609492,-0.52454469144573,,0.70719668753387,0.34239213087696,0.69368898349122,,,,-1.2383930009657,,-0.56736587790835,89.512785876749,2.010149928015,2.2773311527011,,,,,,,,,,,,-0.67009419052983,,,,,
8,-2.5761778074184,,,-2.1936802441587,,,-6.9229237185103,,,,,2.2120708497506,0,0.65539868125698,99.732547758582,99.773823338561,2.6073944856026,99.674892066071,1.3251064124055,,99.644198801371,-2.1395767462166,,,99.515152068911,-2.8213369416559,,,1.8018340008801,0.67877120682744,0.4529084527929,1.2811472582193,,0.71726027581102,0.22345352456309,0.68377179579868,,,,-1.0351445030079,,-0.26933988761179,89.396678910644,1.9776165120147,5.4024421742086,,,,,,,,,,,,-0.43361288340813,,,,,
8,-2.5838532136275,,,-4.1160879121418,,,-6.7928564336327,,,,,2.2175558657515,0,0.69641822726771,99.518685182622,99.773823338561,2.5937213517181,99.674892066071,1.1592749524124,,99.644198801371,-2.2387140745872,,,99.515152068911,-2.7618812389308,,,1.9947509194272,0.67877120682744,0.27562743942435,2.566916333998,,0.67215451772326,0.12750526456729,0.68377179579868,,,,-0.81893849342311,,0.0078544883542173,89.396678910644,2.003058018059,5.1114369224865,,,,,,,,,,,,-0.19645164580721,,,,,
