EoL_3_X,EoL_4_X,EoL_5_X,EoL_6_X,EoL_3_Y,EoL_4_Y,EoL_5_Y,EoL_6_Y
"{'root_cause': 'cam_1_X', 'score': 173.25559239372814, 'paths': ['cam_1_X', 'rob_2_1', 'EoL_3_X']}","{'root_cause': 'cam_1_X', 'score': 173.25559239372814, 'paths': ['cam_1_X', 'rob_2_1', 'EoL_4_X']}","{'root_cause': 'cam_1_X', 'score': 173.25559239372814, 'paths': ['cam_1_X', 'rob_2_1', 'EoL_5_X']}","{'root_cause': 'cam_1_X', 'score': 173.25559239372814, 'paths': ['cam_1_X', 'rob_2_1', 'EoL_6_X']}","{'root_cause': 'cam_1_X', 'score': 173.25559239372814, 'paths': ['cam_1_X', 'rob_2_1', 'EoL_3_Y']}","{'root_cause': 'cam_1_X', 'score': 173.25559239372814, 'paths': ['cam_1_X', 'rob_2_1', 'EoL_4_Y']}","{'root_cause': 'cam_1_X', 'score': 173.25559239372814, 'paths': ['cam_1_X', 'rob_2_1', 'EoL_5_Y']}","{'root_cause': 'cam_1_X', 'score': 173.25559239372814, 'paths': ['cam_1_X', 'rob_2_1', 'EoL_6_Y']}"
"{'root_cause': 'cam_1_Y', 'score': 172.00130632020904, 'paths': ['cam_1_Y', 'rob_2_1', 'EoL_3_X']}","{'root_cause': 'cam_1_Y', 'score': 172.00130632020904, 'paths': ['cam_1_Y', 'rob_2_1', 'EoL_4_X']}","{'root_cause': 'cam_1_Y', 'score': 172.00130632020904, 'paths': ['cam_1_Y', 'rob_2_1', 'EoL_5_X']}","{'root_cause': 'cam_1_Y', 'score': 172.00130632020904, 'paths': ['cam_1_Y', 'rob_2_1', 'EoL_6_X']}","{'root_cause': 'cam_1_Y', 'score': 172.00130632020904, 'paths': ['cam_1_Y', 'rob_2_1', 'EoL_3_Y']}","{'root_cause': 'cam_1_Y', 'score': 172.00130632020904, 'paths': ['cam_1_Y', 'rob_2_1', 'EoL_4_Y']}","{'root_cause': 'cam_1_Y', 'score': 172.00130632020904, 'paths': ['cam_1_Y', 'rob_2_1', 'EoL_5_Y']}","{'root_cause': 'cam_1_Y', 'score': 172.00130632020904, 'paths': ['cam_1_Y', 'rob_2_1', 'EoL_6_Y']}"
"{'root_cause': 'rob_1_2', 'score': 111.91944515545995, 'paths': ['rob_1_2', 'rob_2_1', 'EoL_3_X']}","{'root_cause': 'rob_1_2', 'score': 111.91944515545995, 'paths': ['rob_1_2', 'rob_2_1', 'EoL_4_X']}","{'root_cause': 'rob_1_2', 'score': 111.91944515545995, 'paths': ['rob_1_2', 'rob_2_1', 'EoL_5_X']}","{'root_cause': 'rob_1_2', 'score': 111.91944515545995, 'paths': ['rob_1_2', 'rob_2_1', 'EoL_6_X']}","{'root_cause': 'rob_1_2', 'score': 111.91944515545995, 'paths': ['rob_1_2', 'rob_2_1', 'EoL_3_Y']}","{'root_cause': 'rob_1_2', 'score': 111.91944515545995, 'paths': ['rob_1_2', 'rob_2_1', 'EoL_4_Y']}","{'root_cause': 'rob_1_2', 'score': 111.91944515545995, 'paths': ['rob_1_2', 'rob_2_1', 'EoL_5_Y']}","{'root_cause': 'rob_1_2', 'score': 111.91944515545995, 'paths': ['rob_1_2', 'rob_2_1', 'EoL_6_Y']}"
